,genre,runtime,content_rating,director,actor
0," 사극, 액션 ", 128분 20초 , 15세이상관람가 ,김한민,"최민식, 류승룡, 조진웅"
1, 코미디 , 111분 0초 , 15세이상관람가 ,이병헌,"류승룡, 이하늬, 진선규, 이동휘, 공명"
2," 판타지, 드라마 ", 139분 32초 , 12세이상관람가 ,김용화,"하정우, 차태현, 주지훈, 김향기, 마동석"
3, 드라마 , 126분 16초 , 12세이상관람가 ,윤제균,"황정민, 김윤진, 오달수, 정진영"
4," 액션, 드라마 ", 123분 41초 , 15세이상관람가 ,류승완,"황정민, 유아인, 유해진, 오달수"
5," 액션, 범죄 ", 135분 0초 , 15세이상관람가 ,최동훈,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 이심결, 증국상"
6," 코미디, 드라마 ", 127분 0초 , 15세이상관람가 ,이환경,"류승룡, 박신혜, 갈소원, 오달수, 박원상, 김정태, 정만식, 김기천"
7," 액션, 드라마 ", 139분 55초 , 15세이상관람가 ,최동훈,"전지현, 이정재, 하정우"
8," 범죄, 액션 ", 105분 55초 , 15세이상관람가 ,이상용,"마동석, 손석구, 최귀화"
9," 사극, 드라마 ", 131분 0초 , 15세이상관람가 ,추창민,"이병헌, 류승룡, 한효주, 장광, 김인권, 심은경, 김명곤"
10," 판타지, 드라마 ", 141분 20초 , 12세이상관람가 ,김용화,"하정우, 주지훈, 김향기, 마동석, 김동욱"
11, 드라마 , 137분 0초 , 15세이상관람가 ,장훈,"송강호, 토마스 크레취만, 류준열"
12," 액션, 스릴러 ", 118분 9초 , 15세이상관람가 ,연상호,"공유, 정유미, 마동석, 김수안"
13, 드라마 , 126분 55초 , 15세이상관람가 ,양우석,"송강호, 김영애, 오달수, 곽도원, 임시완"
14," 액션, 드라마, 어드벤처 ", 129분 0초 , 12세이상관람가 ,윤제균,"설경구, 하지원, 박중훈, 엄정화"
15," SF, 가족, 드라마 ", 119분 0초 , 12세관람가 ,봉준호,"송강호, 변희봉, 박해일, 배두나, 고아성"
16, 드라마 , 119분 0초 , 15세이상관람가 ,이준익,"감우성, 이준기, 유해진, 정진영"
17, 드라마 , 131분 39초 , 15세이상관람가 ,봉준호,"송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진, 박명훈"
18," 범죄, 코미디 ", 126분 13초 , 15세이상관람가 ,이일형,"황정민, 강동원"
19," 코미디, 액션 ", 103분 24초 , 12세이상관람가 ,이상근,"조정석, 임윤아, 설도희, 최재영, 고두심, 김환영, 변건우, 황지현, 황효은"
20," SF, 액션 ", 125분 46초 , 15세이상관람가 ,봉준호,"크리스 에반스, 송강호, 에드 해리스, 존 허트, 틸다 스윈튼, 제이미 벨, 옥타비아 스펜서, 이완 브렘너, 고아성, 알리슨 필"
21," 사극, 드라마 ", 139분 40초 , 15세이상관람가 ,한재림,"송강호, 이정재, 백윤식, 조정석, 이종석, 김혜수"
22, 어드벤처 , 129분 37초 , 12세이상관람가 ,이석훈,"김남길, 손예진, 신정근"
23, 드라마 , 124분 46초 , 15세이상관람가 ,황동혁,"심은경, 나문희, 박인환, 성동일, 이진욱"
24," 어드벤처, 드라마 ", 128분 0초 , 12세이상관람가 ,이해준,"이병헌, 하정우, 마동석, 전혜진, 배수지"
25, 코미디 , 108분 0초 , 12세이상관람가 ,강형철,"차태현, 박보영, 왕석현"
26," 드라마, 액션, 코미디 ", 137분 0초 , 12세이상관람가 ,김용화,"하정우, 성동일, 김지석, 김동욱, 최재환, 이재응, 이은성, 심영"
27," 액션, 판타지 ", 90분 0초 , 12세이상관람가 ,심형래,"브룩스 아만다, 베어 제이슨"
28, 액션 , 125분 0초 , 15세이상관람가 ,김성훈,"현빈, 유해진, 김주혁, 장영남, 이해영, 임윤아, 이동휘"
29, 드라마 , 127분 55초 , 12세이상관람가 ,이석훈,"황정민, 정우"
30, 액션 , 139분 55초 , 15세이상관람가 ,김지운,"송강호, 공유"
31," 사극, 액션 ", 122분 0초 , 15세이상관람가 ,김한민,"박해일, 류승룡, 김무열, 문채원"
32," 드라마, 코미디 ", 124분 0초 , 15세이상관람가 ,강형철,"유호정, 심은경, 강소라, 고수희, 홍진희, 김민영, 김선경, 김보미, 이연경, 남보라, 민효린, 조민수"
33," 액션, 드라마 ", 129분 30초 , 12세이상관람가 ,김한민,"박해일, 변요한, 안성기, 손현주, 김성규, 김성균, 김향기, 옥택연, 공명, 박지환, 조재윤, 김효주"
34, 드라마 , 129분 5초 , 15세이상관람가 ,장준환,"김윤석, 하정우, 유해진, 김태리, 이희준"
35, 액션 , 120분 0초 , 15세이상관람가 ,류승완,"하정우, 한석규, 류승범, 전지현"
36," 액션, 범죄 ", 142분 51초 , 15세이상관람가 ,조의석,"이병헌, 강동원, 김우빈"
37, 드라마 , 126분 20초 , 12세이상관람가 ,김성훈,"하정우, 배두나, 오달수"
38," 범죄, 드라마 ", 130분 6초 , 청소년관람불가 ,우민호,"이병헌, 조승우, 백윤식"
39," 전쟁, 드라마 ", 110분 20초 , 12세이상관람가 ,이재한,"이정재, 이범수, 리암 니슨"
40," 액션, 코미디 ", 128분 31초 , 15세이상관람가 ,이석훈,"현빈, 유해진, 임윤아, 다니엘 헤니, 진선규"
41, 코미디 , 112분 37초 , 15세이상관람가 ,이계벽,"유해진, 이준, 조윤희, 임지연"
42," 액션, 코미디, 드라마 ", 123분 47초 , 15세이상관람가 ,장철수,"김수현, 박기웅, 이현우, 손현주, 신정근"
43," 범죄, 액션 ", 121분 0초 , 청소년관람불가 ,강윤성,"마동석, 윤계상, 조재윤, 최귀화, 김성규"
44," 미스터리, 스릴러, 드라마 ", 156분 0초 , 15세이상관람가 ,나홍진,"곽도원, 황정민, 쿠니무라 준, 천우희, 김환희"
45, 드라마 , 125분 0초 , 12세이상관람가 ,김지훈,"김상경, 안성기, 이요원, 이준기, 박철민"
46," 서부극(웨스턴), 액션, 어드벤처 ", 139분 0초 , 15세이상관람가 ,김지운,"송강호, 이병헌, 정우성, 엄지원, 오일용"
47," 멜로/로맨스, 드라마, 판타지 ", 124분 0초 , 15세이상관람가 ,조성희,"송중기, 박보영"
48," 액션, 드라마 ", 132분 11초 , 15세이상관람가 ,류승완,"황정민, 소지섭, 송중기, 이정현, 김수안"
49," 전쟁, 드라마 ", 133분 0초 , 12세관람가 ,박광현,"신하균, 정재영, 강혜정, 리민"
