,title,opening_date,sales,attendance,screen,show_count
0,명량,2014-07-30,"135,758,658,810","17,615,919","1,587","188,726"
1,극한직업,2019-01-23,"139,655,543,516","16,266,338","2,003","292,816"
2,신과함께-죄와 벌,2017-12-20,"115,727,528,087","14,414,658","1,912","214,631"
3,국제시장,2014-12-17,"110,947,621,230","14,264,478","1,044","212,705"
4,베테랑,2015-08-05,"105,170,856,250","13,414,484","1,115","199,307"
5,도둑들,2012-07-25,"93,672,497,700","12,984,701","1,091","155,487"
6,7번방의 선물,2013-01-23,"91,437,368,170","12,812,144",866,"167,013"
7,암살,2015-07-22,"98,469,385,781","12,706,947","1,519","175,222"
8,범죄도시2,2022-05-18,"131,298,796,478","12,693,415","2,521","355,768"
9,"광해, 왕이 된 남자",2012-09-13,"88,913,283,469","12,324,062","1,001","203,464"
10,신과함께-인과 연,2018-08-01,"102,689,349,539","12,278,010","2,235","180,750"
11,택시운전사,2017-08-02,"95,871,631,649","12,189,706","1,906","184,208"
12,부산행,2016-07-20,"93,188,162,548","11,567,815","1,788","151,533"
13,변호인,2013-12-18,"82,876,713,788","11,375,399",925,"152,290"
14,해운대,2009-07-22,"81,028,720,000","11,325,117",764,"154,332"
15,괴물,2006-07-27,"66,717,700,300","10,917,400",647,"113,105"
16,왕의 남자,2005-12-29,"66,019,904,400","10,514,177",313,"111,193"
17,기생충,2019-05-30,"87,463,906,795","10,313,513","1,948","206,449"
18,검사외전,2016-02-03,"77,320,403,264","9,707,581","1,812","153,532"
19,엑시트,2019-07-31,"79,239,937,162","9,426,960","1,660","202,418"
20,설국열차,2013-08-01,"67,035,020,000","9,353,799","1,128","125,777"
21,관상,2013-09-11,"66,009,826,500","9,135,806","1,240","125,107"
22,해적: 바다로 간 산적,2014-08-06,"66,372,140,706","8,666,208",910,"133,354"
23,수상한 그녀,2014-01-22,"62,721,416,849","8,660,760","1,027","137,010"
24,백두산,2019-12-19,"69,831,430,800","8,253,427","1,971","174,505"
25,과속스캔들,2008-12-03,"53,801,341,400","8,223,342",408,"145,556"
26,국가대표,2009-07-29,"57,570,773,000","8,035,181",570,"131,671"
27,디워,2007-08-01,"49,340,084,700","7,855,474",622,"96,439"
28,공조,2017-01-18,"63,783,534,886","7,817,686","1,392","142,999"
29,히말라야,2015-12-16,"60,175,363,015","7,759,761","1,095","142,715"
30,밀정,2016-09-07,"61,270,079,831","7,500,457","1,444","138,162"
31,최종병기 활,2011-08-10,"55,827,861,500","7,470,633",615,"130,055"
32,써니,2011-05-04,"54,038,557,200","7,363,142",546,"149,157"
33,한산: 용의 출현,2022-07-27,"73,700,628,377","7,264,934","2,223","217,713"
34,1987,2017-12-27,"58,170,216,145","7,232,452","1,299","138,231"
35,베를린,2013-01-30,"52,358,372,637","7,166,688",894,"111,760"
36,마스터,2016-12-21,"58,068,236,865","7,150,586","1,501","126,927"
37,터널,2016-08-10,"57,530,028,417","7,120,780","1,105","113,214"
38,내부자들,2015-11-19,"56,605,193,557","7,073,581","1,129","152,783"
39,인천상륙작전,2016-07-27,"55,112,241,303","7,051,237","1,049","97,035"
40,공조2: 인터내셔날,2022-09-07,"70,916,352,586","6,982,840","2,389","275,814"
41,럭키,2016-10-13,"56,445,323,256","6,975,631","1,234","155,991"
42,은밀하게 위대하게,2013-06-05,"48,700,887,413","6,959,083","1,341","117,463"
43,범죄도시,2017-10-03,"56,322,153,349","6,880,546","1,315","149,389"
